OBJECTID,GEOID_Data,B01001e1,GEOID
229,05000US06081,763450,6081
230,05000US06083,442996,6083
231,05000US06085,1911226,6085
232,05000US06087,273263,6087
233,05000US06089,178919,6089
234,05000US06091,2885,6091
235,05000US06093,43530,6093
236,05000US06095,434981,6095
237,05000US06097,500943,6097
238,05000US06099,535684,6099
239,05000US06101,95583,6101
240,05000US06103,63247,6103
241,05000US06105,13037,6105
242,05000US06107,458809,6107
243,05000US06109,53899,6109
244,05000US06111,847834,6111
245,05000US06113,212605,6113
246,05000US06115,74644,6115
247,05000US08001,487850,8001
248,05000US08003,16345,8003
249,05000US08005,626612,8005
250,05000US08007,12592,8007
251,05000US08009,3581,8009
252,05000US08011,5806,8011
253,05000US08013,316782,8013
254,05000US08014,64283,8014
255,05000US08015,18818,8015
256,05000US08017,2127,8017
257,05000US08019,9257,8019
258,05000US08021,8147,8021
259,05000US08023,3628,8023
260,05000US08025,5514,8025
261,05000US08027,4505,8027
262,05000US08029,30217,8029
263,05000US08031,678467,8031
264,05000US08033,1736,8033
265,05000US08035,320940,8035
266,05000US08037,53726,8037
267,05000US08039,24553,8039
268,05000US08041,674826,8041
269,05000US08043,46601,8043
270,05000US08045,57945,8045
271,05000US08047,5793,8047
272,05000US08049,14793,8049
273,05000US08051,16215,8051
274,05000US08053,820,8053
275,05000US08055,6498,8055
276,05000US08057,1372,8057
277,05000US08059,564029,8059
278,05000US08061,1368,8061
279,05000US08063,7846,8063
280,05000US08065,7481,8065
281,05000US08067,54469,8067
282,05000US08069,330976,8069
283,05000US08071,14151,8071
284,05000US08073,5520,8073
285,05000US08075,21885,8075
286,05000US08077,148798,8077
287,05000US08079,834,8079
288,05000US08081,13056,8081
289,05000US08083,25770,8083
290,05000US08085,40908,8085
291,05000US08087,28123,8087
292,05000US08089,18325,8089
293,05000US08091,4653,8091
294,05000US08093,16900,8093
295,05000US08095,4327,8095
296,05000US08097,17747,8097
297,05000US08099,12084,8099
298,05000US08101,163368,8101
299,05000US08103,6557,8103
300,05000US08105,11430,8105
301,05000US08107,24359,8107
302,05000US08109,6338,8109
303,05000US08111,569,8111
304,05000US08113,7804,8113
305,05000US08115,2357,8115
306,05000US08117,29722,8117
307,05000US08119,23769,8119
308,05000US08121,4809,8121
309,05000US08123,285729,8123
310,05000US08125,10109,8125
311,05000US09001,947328,9001
312,05000US09003,897417,9003
313,05000US09005,184454,9005
314,05000US09007,164110,9007
315,05000US09009,862127,9009
316,05000US09011,270772,9011
317,05000US09013,151596,9013
318,05000US09015,116674,9015
319,05000US10001,173145,10001
320,05000US10003,555036,10003
321,05000US10005,215551,10005
322,05000US11001,672391,11001
323,05000US12001,259865,12001
324,05000US12003,27537,12003
325,05000US12005,180117,12005
326,05000US12007,26775,12007
327,05000US12009,568183,12009
328,05000US12011,1890416,12011
329,05000US12013,14458,12013
330,05000US12015,173236,12015
331,05000US12017,141373,12017
332,05000US12019,203291,12019
333,05000US12021,356774,12021
334,05000US12023,68484,12023
335,05000US12027,35675,12027
336,05000US12029,16323,12029
337,05000US12031,912043,12031
338,05000US12033,309924,12033
339,05000US12035,105015,12035
340,05000US12037,11675,12037
341,05000US12039,46113,12039
342,05000US12041,17191,12041
343,05000US12043,13197,12043
344,05000US12045,16018,12045
345,05000US12047,14238,12047
346,05000US12049,27326,12049
347,05000US12051,39064,12051
348,05000US12053,179144,12053
349,05000US12055,100177,12055
350,05000US12057,1351087,12057
351,05000US12059,19483,12059
352,05000US12061,147981,12061
353,05000US12063,48571,12063
354,05000US12065,14085,12065
355,05000US12067,8684,12067
356,05000US12069,326215,12069
357,05000US12071,700165,12071
358,05000US12073,285890,12073
359,05000US12075,39713,12075
360,05000US12077,8347,12077
361,05000US12079,18518,12079
362,05000US12081,363542,12081
363,05000US12083,343778,12083
364,05000US12085,155719,12085
365,05000US12086,2702602,12086
366,05000US12087,76745,12087
367,05000US12089,78435,12089
368,05000US12091,197591,12091
369,05000US12093,40228,12093
370,05000US12095,1290216,12095
371,05000US12097,325168,12097
372,05000US12099,1426772,12099
373,05000US12101,498136,12101
374,05000US12103,949842,12103
375,05000US12105,652256,12105
376,05000US12107,72435,12107
377,05000US12109,226578,12109
378,05000US12111,298763,12111
379,05000US12113,166778,12113
380,05000US12115,404839,12115
381,05000US12117,449260,12117
382,05000US12119,116754,12119
383,05000US12121,43814,12121
384,05000US12123,22350,12123
385,05000US12125,15300,12125
386,05000US12127,518660,12127
387,05000US12129,31586,12129
388,05000US12131,63457,12131
389,05000US12133,24472,12133
390,05000US13001,18471,13001
391,05000US13003,8313,13003
392,05000US13005,11279,13005
393,05000US13007,3251,13007
394,05000US13009,45527,13009
395,05000US13011,18363,13011
396,05000US13013,75099,13013
397,05000US13015,102623,13015
398,05000US13017,17272,13017
399,05000US13019,19014,13019
400,05000US13021,153923,13021
401,05000US13023,12779,13023
402,05000US13025,18411,13025
403,05000US13027,15629,13027
404,05000US13029,34883,13029
405,05000US13031,73742,13031
406,05000US13033,22645,13033
407,05000US13035,23556,13035
408,05000US13037,6503,13037
409,05000US13039,52252,13039
410,05000US13043,10894,13043
411,05000US13045,114898,13045
412,05000US13047,65870,13047
413,05000US13049,12963,13049
414,05000US13051,285506,13051
415,05000US13053,11096,13053
416,05000US13055,24880,13055
417,05000US13057,235896,13057
418,05000US13059,123554,13059
419,05000US13061,3024,13061
420,05000US13063,274150,13063
421,05000US13065,6788,13065
422,05000US13067,739072,13067
423,05000US13069,43048,13069
424,05000US13071,45890,13071
425,05000US13073,143723,13073
426,05000US13075,17190,13075
427,05000US13077,138015,13077
428,05000US13079,12385,13079
429,05000US13081,23005,13081
430,05000US13083,16282,13083
431,05000US13085,23397,13085
432,05000US13087,27023,13087
433,05000US13089,736066,13089
434,05000US13091,21063,13091
435,05000US13093,14053,13093
436,05000US13095,91522,13095
437,05000US13097,140152,13097
438,05000US13099,10405,13099
439,05000US13101,4011,13101
440,05000US13103,57087,13103
441,05000US13105,19288,13105
442,05000US13107,22502,13107
443,05000US13109,10757,13109
444,05000US13111,24480,13111
445,05000US13113,110306,13113
446,05000US13115,96471,13115
447,05000US13117,211300,13117
448,05000US13119,22328,13119
449,05000US13121,1010420,13121
450,05000US13123,29614,13123
451,05000US13125,3027,13125
452,05000US13127,83467,13127
453,05000US13129,56424,13129
454,05000US13131,25048,13131
455,05000US13133,16732,13133
456,05000US13135,889954,13135
457,05000US13137,43878,13137
458,05000US13139,192865,13139
459,05000US13141,8667,13141
460,05000US13143,28722,13143
461,05000US13145,33198,13145
462,05000US13147,25535,13147
463,05000US13149,11607,13149
464,05000US13151,217506,13151
465,05000US13153,150341,13153
466,05000US13155,9278,13155
467,05000US13157,63851,13157
468,05000US13159,13732,13159
469,05000US13161,14999,13161
470,05000US13163,15954,13163
471,05000US13165,8929,13165
472,05000US13167,9800,13167
473,05000US13169,28540,13169
474,05000US13171,18282,13171
475,05000US13173,10388,13173
476,05000US13175,47451,13175
477,05000US13177,29216,13177
478,05000US13179,62120,13179
479,05000US13181,7768,13181
480,05000US13183,17857,13183
481,05000US13185,113941,13185
482,05000US13187,31567,13187
483,05000US13189,21488,13189
484,05000US13191,14061,13191
485,05000US13193,13675,13193
486,05000US13195,28600,13195
487,05000US13197,8558,13197
488,05000US13199,21152,13199
489,05000US13201,5884,13201
490,05000US13205,22574,13205
491,05000US13207,26795,13207
492,05000US13209,8962,13209
493,05000US13211,18013,13211
494,05000US13213,39444,13213
495,05000US13215,198647,13215
496,05000US13217,105042,13217
497,05000US13219,35972,13219
498,05000US13221,14654,13221
499,05000US13223,152399,13223
500,05000US13225,27027,13225
501,05000US13227,30343,13227
502,05000US13229,19141,13229
503,05000US13231,17919,13231
504,05000US13233,41444,13233
505,05000US13235,11396,13235
506,05000US13237,21430,13237
507,05000US13239,2140,13239
508,05000US13241,16354,13241
509,05000US13243,7206,13243
510,05000US13245,201568,13245
511,05000US13247,88482,13247
512,05000US13249,5168,13249
513,05000US13251,14037,13251
514,05000US13253,8549,13253
515,05000US13255,64192,13255
516,05000US13257,25625,13257
517,05000US13259,5832,13259
518,05000US13261,30687,13261
519,05000US13263,6423,13263
520,05000US13265,1844,13265
